contexto,palavra,classe,genero,correcao_classe,correcao_palavra,genero_derivacao,tipo_nome,correcao_genero,animacidade,marca_genero_raiz,marca_genero_desinencia,marca_genero_concord,forma_heteronimo,tipo_substantivo,qual_heteronimo
dia Luiz           bom,dia,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
sim                      qual é o curso que você faz,curso,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
você faz           então eu estudo faço Engenharia Mecânica,estudo,substantivo,['Masc'],verbo,,-,-,-,-,-,-,-,-,-,
Mecânica aqui na                      qual campus                      São Cristóvão,campus,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
São Cristóvão           qual período           então tou,período,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
atrasado           porque perdi algumas matérias           fiz intercâmbio,matérias,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
perdi algumas matérias           fiz intercâmbio e tudo mais,intercâmbio,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
e como foi sua experiência lá           ah,experiência,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
lá           ah foi legal tipo           foi eu,tipo,substantivo,['Masc'],marcador discursivo,,-,-,-,-,-,-,-,-,-,
foi eu fiz           no caso           eu fiz,caso,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
não integrava                      estudo e pesquisa           aí eu,pesquisa,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
aí eu fiz                      dez meses de estudo,meses,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
pesquisa lá           em um laboratório           e você,laboratório,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
daqui a pouco a gente conversa mais sobre,gente,substantivo,['Fem'],pronome,,-,-,-,-,-,-,-,-,-,
certo                      qual sua ocupação atualmente           atualmente,ocupação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
me dedicando           só aos estudos mesmo só,estudos,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
mesmo só     na           estágio                      gênero,estágio,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
